Players,Courts,Max Rounds,Round,1a,1b,1c,1d,,2a,2b,2c,2d,,3a,3b,3c,3d,,4a,4b,4c,4d,,5a,5b,5c,5d,,6a,6b,6c,6d,,b1,b2,b3,b4,b5,b6,
20,4,10,8,2,11,17,16,,3,7,12,19,,5,9,15,20,,1,4,6,18,,x,x,x,x,,x,x,x,x,,8,13,10,14,x,x,210
20,4,10,9,8,3,2,18,,4,5,10,19,,7,11,13,20,,1,9,17,14,,x,x,x,x,,x,x,x,x,,6,15,12,16,x,x,210
20,4,10,10,17,4,8,12,,2,14,6,20,,13,9,19,16,,10,7,18,15,,x,x,x,x,,x,x,x,x,,1,5,3,11,x,x,210
19,4,10,1,7,8,5,6,,15,16,13,14,,9,11,10,12,,1,3,4,2,,x,x,x,x,,x,x,x,x,,17,19,18,x,x,x,190
19,4,10,2,2,15,19,6,,13,8,1,9,,18,17,11,7,,5,4,14,12,,x,x,x,x,,x,x,x,x,,3,10,16,x,x,x,190
19,4,10,3,3,15,13,5,,4,12,17,2,,19,8,10,14,,6,16,18,9,,x,x,x,x,,x,x,x,x,,7,1,11,x,x,x,190
19,4,10,4,16,7,19,12,,17,9,5,3,,4,11,1,6,,18,2,10,13,,x,x,x,x,,x,x,x,x,,15,14,8,x,x,x,190
19,4,10,5,18,8,19,3,,7,15,10,4,,11,5,2,16,,17,1,14,6,,x,x,x,x,,x,x,x,x,,9,13,12,x,x,x,190
19,4,10,6,3,14,10,7,,8,9,4,16,,15,1,18,12,,19,11,13,17,,x,x,x,x,,x,x,x,x,,6,2,5,x,x,x,190
19,4,10,7,15,11,14,9,,1,5,16,10,,3,13,12,6,,2,7,17,8,,x,x,x,x,,x,x,x,x,,4,19,18,x,x,x,190
19,4,10,8,19,1,5,9,,8,11,12,2,,4,6,13,18,,17,16,15,10,,x,x,x,x,,x,x,x,x,,14,3,7,x,x,x,190
19,4,10,9,2,9,7,14,,3,6,11,16,,18,5,8,15,,19,10,13,4,,x,x,x,x,,x,x,x,x,,1,12,17,x,x,x,190
19,4,10,10,6,10,5,2,,1,7,11,13,,3,12,17,19,,16,18,4,14,,x,x,x,x,,x,x,x,x,,8,9,15,x,x,x,190
18,3,10,1,4,2,1,3,,9,11,10,12,,7,8,6,5,,x,x,x,x,,x,x,x,x,,x,x,x,x,,13,14,15,16,17,18,171
18,3,10,2,5,15,12,17,,8,18,3,13,,2,14,11,16,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,9,7,4,10,6,171
18,3,10,3,16,7,13,10,,14,6,17,1,,15,9,18,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,12,8,2,5,3,11,171
18,3,10,4,1,9,8,5,,7,4,12,11,,10,6,2,3,,x,x,x,x,,x,x,x,x,,x,x,x,x,,13,14,15,16,17,18,171
18,3,10,5,12,8,14,16,,2,5,13,18,,3,11,15,17,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,9,7,4,10,6,171
18,3,10,6,4,9,14,13,,6,1,16,15,,10,7,18,17,,x,x,x,x,,x,x,x,x,,x,x,x,x,,12,8,2,5,3,11,171
18,3,10,7,6,11,9,5,,10,2,4,8,,7,3,1,12,,x,x,x,x,,x,x,x,x,,x,x,x,x,,13,14,15,16,17,18,171
18,3,10,8,11,18,8,16,,3,15,5,14,,2,17,12,13,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,9,7,4,10,6,171
18,3,10,9,18,6,14,4,,17,7,16,9,,15,10,13,1,,x,x,x,x,,x,x,x,x,,x,x,x,x,,12,8,2,5,3,11,171
18,3,10,10,2,8,7,1,,4,3,5,11,,6,12,9,10,,x,x,x,x,,x,x,x,x,,x,x,x,x,,13,14,15,16,17,18,171
18,4,10,1,7,8,5,6,,9,11,10,12,,13,14,15,16,,1,3,4,2,,x,x,x,x,,x,x,x,x,,18,17,x,x,x,x,171
18,4,10,2,4,14,11,18,,9,2,6,13,,7,3,12,15,,1,8,10,17,,x,x,x,x,,x,x,x,x,,16,5,x,x,x,x,171
18,4,10,3,15,4,17,6,,16,7,10,2,,12,18,1,5,,11,3,8,14,,x,x,x,x,,x,x,x,x,,13,9,x,x,x,x,171
18,4,10,4,9,6,18,3,,4,16,8,12,,11,7,2,17,,10,13,5,15,,x,x,x,x,,x,x,x,x,,1,14,x,x,x,x,171
18,4,10,5,16,3,11,13,,2,15,18,8,,10,6,14,1,,9,5,4,17,,x,x,x,x,,x,x,x,x,,7,12,x,x,x,x,171
18,4,10,6,13,2,12,14,,11,5,1,7,,9,8,10,3,,16,17,18,6,,x,x,x,x,,x,x,x,x,,4,15,x,x,x,x,171
18,4,10,7,9,1,8,16,,3,17,14,5,,13,7,4,18,,12,11,15,6,,x,x,x,x,,x,x,x,x,,10,2,x,x,x,x,171
18,4,10,8,5,10,18,2,,17,1,13,12,,6,16,4,3,,9,7,14,15,,x,x,x,x,,x,x,x,x,,11,8,x,x,x,x,171
18,4,10,9,1,2,15,11,,4,7,10,14,,8,17,13,18,,5,12,16,9,,x,x,x,x,,x,x,x,x,,3,6,x,x,x,x,171
18,4,10,10,4,8,5,13,,1,18,3,15,,16,10,17,11,,14,6,2,12,,x,x,x,x,,x,x,x,x,,7,9,x,x,x,x,171
17,4,10,1,5,6,7,8,,4,2,3,1,,13,14,16,15,,9,11,10,12,,x,x,x,x,,x,x,x,x,,17,x,x,x,x,x,153
17,4,10,2,15,4,11,14,,6,3,12,17,,13,7,2,8,,16,10,1,5,,x,x,x,x,,x,x,x,x,,9,x,x,x,x,x,153
17,4,10,3,1,17,7,11,,6,10,13,4,,12,2,14,5,,16,8,9,3,,x,x,x,x,,x,x,x,x,,15,x,x,x,x,x,153
17,4,10,4,14,1,6,9,,10,15,8,17,,3,13,11,5,,7,12,16,4,,x,x,x,x,,x,x,x,x,,2,x,x,x,x,x,153
17,4,10,5,4,5,9,17,,1,15,12,8,,3,7,10,14,,2,6,11,16,,x,x,x,x,,x,x,x,x,,13,x,x,x,x,x,153
17,4,10,6,14,17,13,16,,11,12,10,3,,9,2,15,7,,4,1,6,8,,x,x,x,x,,x,x,x,x,,5,x,x,x,x,x,153
17,4,10,7,3,5,15,6,,17,10,2,16,,11,4,8,14,,9,13,12,1,,x,x,x,x,,x,x,x,x,,7,x,x,x,x,x,153
17,4,10,8,9,15,6,11,,8,5,13,12,,17,7,3,4,,1,10,14,2,,x,x,x,x,,x,x,x,x,,16,x,x,x,x,x,153
17,4,10,9,10,13,4,9,,15,3,1,16,,17,11,5,2,,6,12,14,7,,x,x,x,x,,x,x,x,x,,8,x,x,x,x,x,153
17,4,10,10,5,7,1,11,,8,9,14,16,,15,12,4,17,,2,3,6,13,,x,x,x,x,,x,x,x,x,,10,x,x,x,x,x,153
17,3,10,1,9,11,10,12,,7,8,5,6,,1,3,2,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,15,13,16,14,17,x,153
17,3,10,2,3,14,13,5,,17,12,15,1,,16,4,10,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,8,2,11,7,9,x,153
17,3,10,3,14,9,2,17,,15,3,16,7,,8,11,1,13,,x,x,x,x,,x,x,x,x,,x,x,x,x,,6,10,12,4,5,x,153
17,3,10,4,5,9,16,12,,10,7,4,8,,6,11,2,14,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,3,15,13,17,x,153
17,3,10,5,5,4,6,1,,7,11,3,12,,15,10,13,17,,x,x,x,x,,x,x,x,x,,x,x,x,x,,16,14,8,2,9,x,153
17,3,10,6,9,1,3,17,,13,8,16,2,,4,15,12,14,,x,x,x,x,,x,x,x,x,,x,x,x,x,,11,7,6,10,5,x,153
17,3,10,7,17,16,11,5,,6,8,9,2,,13,7,14,10,,x,x,x,x,,x,x,x,x,,x,x,x,x,,12,4,1,3,15,x,153
17,3,10,8,7,4,12,2,,15,6,3,9,,5,10,1,11,,x,x,x,x,,x,x,x,x,,x,x,x,x,,13,17,16,14,8,x,153
17,3,10,9,15,14,8,1,,6,12,16,10,,4,17,13,3,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,9,11,7,5,x,153
17,3,10,10,3,16,8,14,,11,13,15,9,,2,7,5,17,,x,x,x,x,,x,x,x,x,,x,x,x,x,,6,10,12,4,1,x,153
16,4,10,1,8,7,6,5,,4,2,3,1,,13,14,16,15,,9,11,10,12,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,2,8,4,11,14,,13,9,2,7,,6,3,12,15,,16,10,1,5,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,3,12,2,14,5,,16,8,9,3,,1,11,7,15,,6,13,4,10,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,4,10,8,2,15,,14,1,6,9,,3,13,11,5,,7,12,16,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,5,2,6,11,16,,4,5,9,15,,1,8,12,13,,3,7,10,14,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,6,9,1,3,11,,8,15,16,7,,4,12,2,10,,13,5,6,14,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,7,9,12,13,15,,4,1,8,5,,11,10,14,16,,2,3,7,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,8,16,3,12,5,,13,4,11,7,,6,10,1,15,,8,9,2,14,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
